desc,practice,policy
Capacity for learning,SE.PRM.LCAP,SE.PRM.LNTN
  Numeracy score,SE.PRM.LCAP.2,SE.PRM.LNTN
  Literacy score,SE.PRM.LCAP.3,SE.PRM.LHTH
  Executive score,SE.PRM.LCAP.4,SE.PRM.LCBC
  Socio-emotional score,SE.PRM.LCAP.5,SE.PRM.LSKC
Student Attendance,SE.PRM.ATTD,SE.PRM.LFCP
